"Percent Total","Element","Extension","Type","Domain","Owner","Owner Country","Owner Lineage"
"7.14","https://assets.abs-cbn.com/dotcom/theme/scripts/master.min.js","js","javascript","abs-cbn.com","Unknown","",""
"7.14","https://assets.abs-cbn.com/dotcom/theme/scripts/vendor/modernizr-custom.min.js","js","javascript","abs-cbn.com","Unknown","",""
"7.14","https://assets.abs-cbn.com/dotcom/theme/scripts/vendor/parallax.min.js","js","javascript","abs-cbn.com","Unknown","",""
"7.14","https://assets.abs-cbn.com/dotcom/theme/scripts/vendor/picturefill.js","js","javascript","abs-cbn.com","Unknown","",""
"7.14","https://assets.abs-cbn.com/dotcom/theme/scripts/vendor/slick.min.js","js","javascript","abs-cbn.com","Unknown","",""
"7.14","https://assets.abs-cbn.com/sso/live/sso-behavior.js","js","javascript","abs-cbn.com","Unknown","",""
"7.14","https://assets.abs-cbn.com/universalnav/uninav-v4.2.0.js","js","javascript","abs-cbn.com","Unknown","",""
"7.14","https://assets.alicdn.com/g/alilog/mlog/aplus_int.js","js","javascript","alicdn.com","Alibaba","CN","Alibaba "
"7.14","https://assets.alicdn.com/g/secdev/entry/index.js","js","javascript","alicdn.com","Alibaba","CN","Alibaba "
"7.14","https://assets.alicdn.com/g/secdev/nsv/1.0.66/ns_d_77_3_f.js","js","javascript","alicdn.com","Alibaba","CN","Alibaba "
"7.14","https://assets.alicdn.com/g/secdev/sufei_data/3.7.9/index.js","js","javascript","alicdn.com","Alibaba","CN","Alibaba "
"7.14","https://assets.citrusad.net/citrusjs/0.3.0/citrus.js","js","javascript","citrusad.net","Unknown","",""
"7.14","https://assets.zendesk.com/embeddable_framework/main.js","js","javascript","zendesk.com","Zendesk","US","Zendesk "
"7.14","https://avd.innity.net/254/container_57e4d9521c51b1315c101158.js","js","javascript","innity.net","Unknown","",""
"7.14","https://avd.innity.net/31/container_550679d71c51b10f2b0a9188.js","js","javascript","innity.net","Unknown","",""
"7.14","https://avd.innity.net/lib/dc.js","js","javascript","innity.net","Unknown","",""
"7.14","https://bat.bing.com/bat.js","js","javascript","bing.com","Bing","US","Bing > Microsoft "
"7.14","https://bingsu.pantip.com/assets/js/bluebird.min.js","js","javascript","pantip.com","Unknown","",""
"7.14","https://bingsu.pantip.com/assets/js/fetch.min.js","js","javascript","pantip.com","Unknown","",""
"7.14","https://bingsu.pantip.com/bluebird.min.js","js","javascript","pantip.com","Unknown","",""
"7.14","https://bingsu.pantip.com/fetch.js","js","javascript","pantip.com","Unknown","",""
"7.14","https://bingsu.pantip.com/script_frukt.js","js","javascript","pantip.com","Unknown","",""
"7.14","https://cdn-ssl.vidible.tv/prod/ad-client/js/10.1.20/0.js","js","javascript","vidible.tv","Unknown","",""
"7.14","https://cdn.ampproject.org/rtv/011909241711100/v0/amp-ad-exit-0.1.js","js","javascript","ampproject.org","Unknown","",""
"7.14","https://cdn.ampproject.org/rtv/011909241711100/v0/amp-fit-text-0.1.js","js","javascript","ampproject.org","Unknown","",""
"7.14","https://cdn.ampproject.org/rtv/011909241711100/v0/amp-form-0.1.js","js","javascript","ampproject.org","Unknown","",""
"7.14","https://cdn.digitru.st/prod/1/digitrust.min.js","js","javascript","digitru.st","Unknown","",""
"7.14","https://cdn.dynamicyield.com/api/8767742/api_dynamic.js","js","javascript","dynamicyield.com","Unknown","",""
"7.14","https://cdn.dynamicyield.com/api/8767742/api_static.js","js","javascript","dynamicyield.com","Unknown","",""
"7.14","https://cdn.dynamicyield.com/scripts/12361/dy-coll-min.js","js","javascript","dynamicyield.com","Unknown","",""
"7.14","https://cdn.innity.net/admanager.js","js","javascript","innity.net","Unknown","",""
"7.14","https://cdn.izooto.com/scripts/3a6805f3614d473f5aa915eeafbd09ae59586852.js","js","javascript","izooto.com","Unknown","",""
"7.14","https://cdn.izooto.com/scripts/sdk/izooto.js","js","javascript","izooto.com","Unknown","",""
"7.14","https://cdn.onesignal.com/sdks/OneSignalPageSDKES6.js","js","javascript","onesignal.com","Unknown","",""
"7.14","https://cdn.onesignal.com/sdks/OneSignalSDK.js","js","javascript","onesignal.com","Unknown","",""
"7.14","https://cdn.raygun.io/raygun4js/raygun.min.js","js","javascript","raygun.io","Unknown","",""
"7.14","https://cdn.tynt.com/ti.js","js","javascript","tynt.com","33Across","US","33Across "
"7.14","https://cdnjs.cloudflare.com/ajax/libs/Swiper/3.3.1/js/swiper.min.js","js","javascript","cloudflare.com","Cloudflare","US","Cloudflare "
"7.14","https://cdnjs.cloudflare.com/ajax/libs/jquery/3.2.1/jquery.min.js","js","javascript","cloudflare.com","Cloudflare","US","Cloudflare "
"7.14","https://cdns.gigya.com/js/gigya.js","js","javascript","gigya.com","Gigya","US","Gigya "
"7.14","https://code.createjs.com/createjs-2015.11.26.min.js","js","javascript","createjs.com","CreateJS","CA","CreateJS "
"7.14","https://code.jquery.com/jquery-1.12.0.min.js","js","javascript","jquery.com","jQuery Foundation","US","jQuery Foundation "
"7.14","https://code.jquery.com/jquery-3.2.1.min.js","js","javascript","jquery.com","jQuery Foundation","US","jQuery Foundation "
"7.14","https://config1.veinteractive.com/scripts/5.0/capture-apps-5.0.0.js","js","javascript","veinteractive.com","Ve Interactive","UK","Ve Interactive "
"7.14","https://config1.veinteractive.com/scripts/shared/vendor.js","js","javascript","veinteractive.com","Ve Interactive","UK","Ve Interactive "
"7.14","https://config1.veinteractive.com/tags/64ee4b05/cc6b/45a8/bcce/384db8aca611/tag.js","js","javascript","veinteractive.com","Ve Interactive","UK","Ve Interactive "
"7.14","https://connect.facebook.net/en_GB/sdk.js","js","javascript","facebook.net","Facebook","US","Facebook "
"7.14","https://connect.facebook.net/en_US/sdk.js","js","javascript","facebook.net","Facebook","US","Facebook "
"7.14","https://connect.facebook.net/signals/plugins/identity.js","js","javascript","facebook.net","Facebook","US","Facebook "
"7.14","https://cse.google.com/adsense/search/async-ads.js","js","javascript","google.com","Google","US","Google > Alphabet "
"7.14","https://cse.google.com/cse.js","js","javascript","google.com","Google","US","Google > Alphabet "
"7.14","https://d2wy8f7a9ursnm.cloudfront.net/v4/bugsnag.min.js","js","javascript","cloudfront.net","Amazon Web Services","US","Amazon Web Services > Amazon "
"7.14","https://d3miu5qzzxs1gd.cloudfront.net/dj.200.min.js","js","javascript","cloudfront.net","Amazon Web Services","US","Amazon Web Services > Amazon "
"7.14","https://dcitdashboard.abs-cbn.com/js/modalNPC.js","js","javascript","abs-cbn.com","Unknown","",""
"7.14","https://delivery.adrecover.com/36782/adRecover.js","js","javascript","adrecover.com","Unknown","",""
"7.14","https://dtm.advertising.com/411f1e96-3bde-4d85-b17e-63749e5f0695.js","js","javascript","advertising.com","ONE by Aol","US","ONE by Aol > Aol > Oath > Verizon "
"7.14","https://elcat.kg/wp-content/plugins/contact-form-7/includes/js/scripts.js","js","javascript","elcat.kg","Unknown","",""
