"Total Pages OK","14"
"Total Pages FAIL","0"
"Total Pages Attempted","14"
"% Pages OK","100.0"
"Total Errors","0"
"Total Cookies","514"
"Total Elements Requested","1906"
"Total Elements Received","1900"
"Total % Elements Received","99.69"
"3P Elements Requested","1574"
"3P Elements Received","1568"
"3P % Elements Received","99.62"
