"Total Pages OK","20"
"Total Pages FAIL","0"
"Total Pages Attempted","20"
"% Pages OK","100.0"
"Total Errors","0"
"Total Cookies","770"
"Total Elements Requested","2688"
"Total Elements Received","2665"
"Total % Elements Received","99.14"
"3P Elements Requested","1755"
"3P Elements Received","1734"
"3P % Elements Received","98.8"
