"Page Domain","3P Element Domain","3P Domain Owner","3P Domain Owner Country"
"live.com","office365.com","Unknown",""
"live.com","optimizely.com","Optimizely","US"
"memurlar.net","360yield.com","Improve Digital","NL"
"memurlar.net","9mediaonline.com","Unknown",""
"memurlar.net","adelement.com","Unknown",""
"memurlar.net","adentifi.com","Unknown",""
"memurlar.net","adform.net","AdForm","DK"
"memurlar.net","admatic.com.tr","Unknown",""
"memurlar.net","admixer.net","Unknown",""
"memurlar.net","adnxs.com","AppNexus","US"
"memurlar.net","adocean.pl","Unknown",""
"memurlar.net","ads-twitter.com","Twitter","US"
"memurlar.net","adscale.de","AdScale","DE"
"memurlar.net","adsrvr.org","The Trade Desk","US"
"memurlar.net","adtelligent.com","Unknown",""
"memurlar.net","advertising.com","ONE by Aol","US"
"memurlar.net","alexametrics.com","Alexa","US"
"memurlar.net","ampproject.org","Unknown",""
"memurlar.net","bidr.io","Beeswax","US"
"memurlar.net","bidswitch.net","Bidswitch","UK"
"memurlar.net","bluekai.com","Blue Kai","US"
"memurlar.net","brealtime.com","Unknown",""
"memurlar.net","casalemedia.com","Index Exchange","CA"
"memurlar.net","clrstm.com","Unknown",""
"memurlar.net","connectad.io","Unknown",""
"memurlar.net","contextweb.com","PulsePoint","US"
"memurlar.net","creativecdn.com","Unknown",""
"memurlar.net","criteo.com","Criteo","FR"
"memurlar.net","criteo.net","Criteo","FR"
"memurlar.net","departapp.com","Unknown",""
"memurlar.net","doubleclick.net","DoubleClick","US"
"memurlar.net","dyntrk.com","Dynadmic","FR"
"memurlar.net","engageya.com","Unknown",""
"memurlar.net","everesttech.net","Adobe Systems","US"
"memurlar.net","eyeviewads.com","Eyeview","US"
"memurlar.net","facebook.com","Facebook","US"
"memurlar.net","facebook.net","Facebook","US"
"memurlar.net","gemius.pl","Gemius","PL"
"memurlar.net","google-analytics.com","Google Analytics","US"
"memurlar.net","google.com","Google","US"
"memurlar.net","googleapis.com","Google APIs","US"
"memurlar.net","googlesyndication.com","AdSense","US"
"memurlar.net","googletagmanager.com","Google Tag Manager","US"
"memurlar.net","googletagservices.com","Google Tag Manager","US"
"memurlar.net","gstatic.com","Google","US"
"memurlar.net","krxd.net","Krux Digital","US"
"memurlar.net","lkqd.net","Unknown",""
"memurlar.net","loopme.me","Loopme","UK"
"memurlar.net","mathtag.com","Media Math","US"
"memurlar.net","mdhv.io","Unknown",""
"memurlar.net","mgid.com","Unknown",""
"memurlar.net","moatads.com","Moat","US"
"memurlar.net","nuggad.net","nugg.ad","DE"
"memurlar.net","openx.net","OpenX","US"
"memurlar.net","prebid.org","Unknown",""
"memurlar.net","pubmatic.com","PubMatic","US"
"memurlar.net","quantserve.com","Quantcast","US"
"memurlar.net","rfihub.com","Rocketfuel","US"
"memurlar.net","rlcdn.com","LiveRamp","US"
"memurlar.net","sabio.us","Unknown",""
"memurlar.net","scorecardresearch.com","ScorecardResearch","US"
"memurlar.net","sgkrehberi.com","Unknown",""
"memurlar.net","shoofle.tv","Unknown",""
"memurlar.net","smrpm.com","Unknown",""
"memurlar.net","smrtbid.com","Unknown",""
"memurlar.net","sonobi.com","Sonobi","US"
"memurlar.net","spotxchange.com","Spot X Change","US"
"memurlar.net","springserve.com","Unknown",""
"memurlar.net","t.co","Twitter","US"
"memurlar.net","tidaltv.com","Videology Group","US"
"memurlar.net","truoptik.com","Unknown",""
"memurlar.net","turn.com","Turn","US"
"memurlar.net","userreport.com","Unknown",""
"memurlar.net","vertamedia.com","Unknown",""
"memurlar.net","videohub.tv","Tremor Video","US"
"memurlar.net","vidible.tv","Unknown",""
"memurlar.net","vidoplay.com","Unknown",""
"memurlar.net","yahoo.com","Yahoo","US"
"memurlar.net","zemanta.com","Unknown",""
"milliyet.com.tr","adform.net","AdForm","DK"
"milliyet.com.tr","adrecover.com","Unknown",""
"milliyet.com.tr","adscale.de","AdScale","DE"
"milliyet.com.tr","agkn.com","Neustar Marketing","US"
"milliyet.com.tr","betrad.com","Evidon","US"
"milliyet.com.tr","bkrtx.com","Blue Kai","US"
"milliyet.com.tr","bluekai.com","Blue Kai","US"
"milliyet.com.tr","cloudfront.net","Amazon Web Services","US"
"milliyet.com.tr","consensu.org","Unknown",""
"milliyet.com.tr","contextweb.com","PulsePoint","US"
"milliyet.com.tr","criteo.com","Criteo","FR"
"milliyet.com.tr","criteo.net","Criteo","FR"
"milliyet.com.tr","doubleclick.net","DoubleClick","US"
"milliyet.com.tr","evidon.com","Evidon","US"
"milliyet.com.tr","gemius.pl","Gemius","PL"
"milliyet.com.tr","getpublica.com","Unknown",""
"milliyet.com.tr","google-analytics.com","Google Analytics","US"
"milliyet.com.tr","google.com","Google","US"
"milliyet.com.tr","googleapis.com","Google APIs","US"
"milliyet.com.tr","googlesyndication.com","AdSense","US"
"milliyet.com.tr","googletagmanager.com","Google Tag Manager","US"
"milliyet.com.tr","googletagservices.com","Google Tag Manager","US"
"milliyet.com.tr","ilan.gov.tr","Unknown",""
"milliyet.com.tr","jsdelivr.net","jsDelivr","US"
"milliyet.com.tr","lijit.com","Sovrn","US"
"milliyet.com.tr","medyanetads.com","Unknown",""
"milliyet.com.tr","milimaj.com","Unknown",""
"milliyet.com.tr","ntinolrr.com","Unknown",""
"milliyet.com.tr","openx.net","OpenX","US"
"milliyet.com.tr","rubiconproject.com","Rubicon Project","US"
"milliyet.com.tr","s-onetag.com","Unknown",""
"mynet.com","adform.net","AdForm","DK"
"mynet.com","adnxs.com","AppNexus","US"
"mynet.com","adrecover.com","Unknown",""
"mynet.com","adscale.de","AdScale","DE"
"mynet.com","adsrvr.org","The Trade Desk","US"
"mynet.com","agkn.com","Neustar Marketing","US"
"mynet.com","ampproject.org","Unknown",""
"mynet.com","bidswitch.net","Bidswitch","UK"
"mynet.com","bkrtx.com","Blue Kai","US"
"mynet.com","bluekai.com","Blue Kai","US"
"mynet.com","bttrack.com","Unknown",""
"mynet.com","casalemedia.com","Index Exchange","CA"
"mynet.com","chartbeat.com","Chartbeat","US"
"mynet.com","chartbeat.net","Chartbeat","US"
"mynet.com","criteo.com","Criteo","FR"
"mynet.com","criteo.net","Criteo","FR"
"mynet.com","doubleclick.net","DoubleClick","US"
"mynet.com","google-analytics.com","Google Analytics","US"
"mynet.com","google.com","Google","US"
"mynet.com","googleapis.com","Google APIs","US"
"mynet.com","googlesyndication.com","AdSense","US"
"mynet.com","googletagmanager.com","Google Tag Manager","US"
"mynet.com","googletagservices.com","Google Tag Manager","US"
"mynet.com","gstatic.com","Google","US"
"mynet.com","jsdelivr.net","jsDelivr","US"
"mynet.com","lijit.com","Sovrn","US"
"mynet.com","mathtag.com","Media Math","US"
"mynet.com","mfadsrvr.com","Unknown",""
"mynet.com","mookie1.com","Media Innovation Group","UK"
"mynet.com","mynet.com.tr","Unknown",""
"mynet.com","mynetreklam.com","Unknown",""
"mynet.com","openx.net","OpenX","US"
"mynet.com","perfectmarket.com","Taboola","US"
"mynet.com","powerlinks.com","Unknown",""
"mynet.com","pubmatic.com","PubMatic","US"
"mynet.com","rubiconproject.com","Rubicon Project","US"
"mynet.com","scorecardresearch.com","ScorecardResearch","US"
"mynet.com","storygize.net","Unknown",""
"mynet.com","taboola.com","Taboola","US"
"mynet.com","useinsider.com","Unknown",""
"n11.com","akamaized.net","Akamai","US"
"n11.com","ampproject.org","Unknown",""
"n11.com","appdynamics.com","Unknown",""
"n11.com","creativecdn.com","Unknown",""
"n11.com","criteo.com","Criteo","FR"
"n11.com","criteo.net","Criteo","FR"
"n11.com","doubleclick.net","DoubleClick","US"
"n11.com","eum-appdynamics.com","Unknown",""
"n11.com","facebook.com","Facebook","US"
"n11.com","facebook.net","Facebook","US"
"n11.com","google-analytics.com","Google Analytics","US"
"n11.com","google.com","Google","US"
"n11.com","googleadservices.com","AdSense","US"
"n11.com","googleapis.com","Google APIs","US"
"n11.com","googlesyndication.com","AdSense","US"
"n11.com","googletagmanager.com","Google Tag Manager","US"
"n11.com","googletagservices.com","Google Tag Manager","US"
"n11.com","hotjar.com","Hotjar","MT"
"n11.com","oremark.com","Unknown",""
"n11.com","segmentify.com","Unknown",""
"sabah.com.tr","1rx.io","Blinkx","US"
"sabah.com.tr","2mdn.net","DoubleClick","US"
"sabah.com.tr","360yield.com","Improve Digital","NL"
"sabah.com.tr","3lift.com","TripleLift","US"
"sabah.com.tr","acexedge.com","Unknown",""
"sabah.com.tr","adbrn.com","AdBrain","UK"
"sabah.com.tr","addthis.com","AddThis","US"
"sabah.com.tr","adnxs.com","AppNexus","US"
"sabah.com.tr","adobe.com","Adobe Systems","US"
"sabah.com.tr","adocean.pl","Unknown",""
"sabah.com.tr","adsrvr.org","The Trade Desk","US"
"sabah.com.tr","advertising.com","ONE by Aol","US"
"sabah.com.tr","agkn.com","Neustar Marketing","US"
"sabah.com.tr","alexametrics.com","Alexa","US"
"sabah.com.tr","ampproject.org","Unknown",""
"sabah.com.tr","angsrvr.com","Unknown",""
"sabah.com.tr","avocet.io","Avocet","UK"
"sabah.com.tr","bidswitch.net","Bidswitch","UK"
"sabah.com.tr","bluekai.com","Blue Kai","US"
"sabah.com.tr","casalemedia.com","Index Exchange","CA"
"sabah.com.tr","cloudfront.net","Amazon Web Services","US"
"sabah.com.tr","cookiebot.com","Unknown",""
"sabah.com.tr","criteo.com","Criteo","FR"
"sabah.com.tr","criteo.net","Criteo","FR"
"sabah.com.tr","crwdcntrl.net","Lotame","US"
"sabah.com.tr","demdex.net","Adobe Audience Manager","US"
"sabah.com.tr","dotomi.com","Dotomi","US"
"sabah.com.tr","doubleclick.net","DoubleClick","US"
"sabah.com.tr","everesttech.net","Adobe Systems","US"
"sabah.com.tr","exelator.com","exelate","US"
"sabah.com.tr","eyeota.net","Eyeota","SG"
"sabah.com.tr","facebook.com","Facebook","US"
"sabah.com.tr","facebook.net","Facebook","US"
"sabah.com.tr","fwmrm.net","Unknown",""
"sabah.com.tr","gemius.pl","Gemius","PL"
"sabah.com.tr","google-analytics.com","Google Analytics","US"
"sabah.com.tr","google.com","Google","US"
"sabah.com.tr","googlesyndication.com","AdSense","US"
"sabah.com.tr","googletagservices.com","Google Tag Manager","US"
"sabah.com.tr","ib-ibi.com","iBehavior","US"
"sabah.com.tr","ilan.gov.tr","Unknown",""
"sabah.com.tr","im-apps.net","Unknown",""
"sabah.com.tr","krxd.net","Krux Digital","US"
"sabah.com.tr","liadm.com","Unknown",""
"sabah.com.tr","mathtag.com","Media Math","US"
"sabah.com.tr","moatads.com","Moat","US"
"sabah.com.tr","mookie1.com","Media Innovation Group","UK"
"sabah.com.tr","navdmp.com","Unknown",""
"sabah.com.tr","openx.net","OpenX","US"
"sabah.com.tr","pubmatic.com","PubMatic","US"
"sabah.com.tr","quantcount.com","Quantcast","US"
"sabah.com.tr","quantserve.com","Quantcast","US"
"sabah.com.tr","reson8.com","Resonate","US"
"sabah.com.tr","rfihub.com","Rocketfuel","US"
"sabah.com.tr","rlcdn.com","LiveRamp","US"
"sabah.com.tr","ru4.com","Rocketfuel","US"
"sabah.com.tr","rubiconproject.com","Rubicon Project","US"
"sabah.com.tr","scorecardresearch.com","ScorecardResearch","US"
"sabah.com.tr","semasio.net","Semasio","DE"
"sabah.com.tr","sharethrough.com","Sharethrough","US"
"sabah.com.tr","smartadserver.com","Smart AdServer","FR"
"sabah.com.tr","spotxchange.com","Spot X Change","US"
"sabah.com.tr","stickyadstv.com","StickyADS.tv","US"
"sabah.com.tr","tailtarget.com","Unknown",""
"sabah.com.tr","tapad.com","TapAd","US"
"sabah.com.tr","technoratimedia.com","Unknown",""
"sabah.com.tr","thebrighttag.com","Signal Digital","US"
"sabah.com.tr","tidaltv.com","Videology Group","US"
"sabah.com.tr","tmgrup.com.tr","Unknown",""
"sabah.com.tr","tremorhub.com","Tremor Video","US"
"sabah.com.tr","trustarc.com","TrustArc","US"
"sabah.com.tr","truste.com","TrustArc","US"
"sabah.com.tr","tubemogul.com","Tube Mogul","US"
"sabah.com.tr","turn.com","Turn","US"
"sabah.com.tr","twitter.com","Twitter","US"
"sabah.com.tr","udmserve.net","Unknown",""
"sabah.com.tr","underdog.media","Unknown",""
"sabah.com.tr","univide.com","Unknown",""
"sabah.com.tr","vdopia.com","Unknown",""
"sabah.com.tr","w55c.net","DataXu","US"
"sabah.com.tr","yahoo.com","Yahoo","US"
"sabah.com.tr","zeotap.com","Unknown",""
"sporx.com","ads-twitter.com","Twitter","US"
"sporx.com","alexametrics.com","Alexa","US"
"sporx.com","ampproject.org","Unknown",""
"sporx.com","cloudfront.net","Amazon Web Services","US"
"sporx.com","criteo.com","Criteo","FR"
"sporx.com","criteo.net","Criteo","FR"
"sporx.com","dimml.io","Unknown",""
"sporx.com","doubleclick.net","DoubleClick","US"
"sporx.com","facebook.com","Facebook","US"
"sporx.com","facebook.net","Facebook","US"
"sporx.com","gemius.pl","Gemius","PL"
"sporx.com","google-analytics.com","Google Analytics","US"
"sporx.com","google.com","Google","US"
"sporx.com","googleapis.com","Google APIs","US"
"sporx.com","googlesyndication.com","AdSense","US"
"sporx.com","googletagservices.com","Google Tag Manager","US"
"sporx.com","gstatic.com","Google","US"
"sporx.com","hotjar.com","Hotjar","MT"
"sporx.com","niholaev.com","Unknown",""
"sporx.com","scorecardresearch.com","ScorecardResearch","US"
"sporx.com","t.co","Twitter","US"
"sporx.com","twimg.com","Twitter","US"
"sporx.com","twitter.com","Twitter","US"
"trendyol.com","cloudflare.com","Cloudflare","US"
"trendyol.com","creativecdn.com","Unknown",""
"trendyol.com","criteo.com","Criteo","FR"
"trendyol.com","criteo.net","Criteo","FR"
"trendyol.com","doubleclick.net","DoubleClick","US"
"trendyol.com","dsmcdn.com","Unknown",""
"trendyol.com","facebook.com","Facebook","US"
"trendyol.com","facebook.net","Facebook","US"
"trendyol.com","google-analytics.com","Google Analytics","US"
"trendyol.com","google.com","Google","US"
"trendyol.com","googleadservices.com","AdSense","US"
"trendyol.com","googleapis.com","Google APIs","US"
"trendyol.com","googletagmanager.com","Google Tag Manager","US"
"trendyol.com","mncdn.com","Unknown",""
"trendyol.com","yandex.ru","Yandex","RU"
"yenisafak.com","adocean.pl","Unknown",""
"yenisafak.com","alexametrics.com","Alexa","US"
"yenisafak.com","ampproject.org","Unknown",""
"yenisafak.com","cloudfront.net","Amazon Web Services","US"
"yenisafak.com","dimml.io","Unknown",""
"yenisafak.com","doracdn.com","Unknown",""
"yenisafak.com","doubleclick.net","DoubleClick","US"
"yenisafak.com","facebook.com","Facebook","US"
"yenisafak.com","facebook.net","Facebook","US"
"yenisafak.com","gemius.pl","Gemius","PL"
"yenisafak.com","google-analytics.com","Google Analytics","US"
"yenisafak.com","google.com","Google","US"
"yenisafak.com","googleapis.com","Google APIs","US"
"yenisafak.com","googlesyndication.com","AdSense","US"
"yenisafak.com","googletagmanager.com","Google Tag Manager","US"
"yenisafak.com","googletagservices.com","Google Tag Manager","US"
"yenisafak.com","gstatic.com","Google","US"
"yenisafak.com","ilan.gov.tr","Unknown",""
"yenisafak.com","instagram.com","Instagram","US"
"yenisafak.com","jsdelivr.net","jsDelivr","US"
"yenisafak.com","onthe.io","Unknown",""
"yenisafak.com","piri.net","Unknown",""
"yenisafak.com","programattik.com","Unknown",""
"yenisafak.com","twitter.com","Twitter","US"
"yenisafak.com","webvisor.org","Unknown",""
"yenisafak.com","yandex.ru","Yandex","RU"
