"Total Pages OK","19"
"Total Pages FAIL","1"
"Total Pages Attempted","20"
"% Pages OK","95.0"
"Total Errors","2"
"Total Cookies","1367"
"Total Elements Requested","3788"
"Total Elements Received","3704"
"Total % Elements Received","97.78"
"3P Elements Requested","2940"
"3P Elements Received","2856"
"3P % Elements Received","97.14"
